epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,29,,,32.557369232177734,0.01745675317943096,34.4095458984375,0.01762823387980461,20.94414520263672
0,29,11.602107048034668,,,,,,
1,49,,5.282392501831055,,,,,
1,59,,,56.289093017578125,0.03020705282688141,57.44125747680664,0.030688948929309845,25.209970474243164
1,59,6.245465278625488,,,,,,
2,89,,,19.999164581298828,0.010707400739192963,23.143905639648438,0.010784563608467579,10.311091423034668
2,89,5.414425849914551,,,,,,
3,99,,4.457736492156982,,,,,
3,119,,,9.022557258605957,0.004857550375163555,9.897804260253906,0.0048501272685825825,6.990729808807373
3,119,4.789027214050293,,,,,,
4,149,,3.945355176925659,,,,,
4,149,,,8.626816749572754,0.004640189930796623,9.25341510772705,0.004636737518012524,7.3378586769104
4,149,4.635487079620361,,,,,,
5,179,,,10.758155822753906,0.00576566718518734,12.243062019348145,0.0057817017659544945,7.932226657867432
5,179,4.500376224517822,,,,,,
6,199,,3.404777765274048,,,,,
6,209,,,6.198157787322998,0.003333818865939975,6.590755939483643,0.0033320561051368713,5.581497669219971
6,209,4.402858257293701,,,,,,
7,239,,,13.556462287902832,0.0073013282380998135,14.74543571472168,0.007269843947142363,8.12831974029541
7,239,4.172196388244629,,,,,,
8,249,,4.9247565269470215,,,,,
8,269,,,15.09411907196045,0.008129250258207321,16.442188262939453,0.008090135641396046,8.241430282592773
8,269,4.316748142242432,,,,,,
9,299,,4.930087566375732,,,,,
9,299,,,11.203695297241211,0.006033359095454216,12.47309398651123,0.006010844837874174,7.161876201629639
9,299,4.034907341003418,,,,,,
10,329,,,4.514013767242432,0.002423360710963607,5.57161808013916,0.0024256303440779448,5.890023708343506
10,329,4.104599952697754,,,,,,
11,349,,5.570197105407715,,,,,
11,359,,,20.216106414794922,0.010860132053494453,20.294466018676758,0.010801050812005997,9.136981010437012
11,359,4.175469875335693,,,,,,
12,389,,,18.481290817260742,0.009918009862303734,18.96674156188965,0.009866607375442982,7.997776031494141
12,389,3.859023332595825,,,,,,
13,399,,4.041871547698975,,,,,
13,419,,,15.296756744384766,0.008213387802243233,15.714534759521484,0.008177991025149822,7.676630973815918
13,419,3.91678524017334,,,,,,
14,449,,3.8933117389678955,,,,,
14,449,,,27.80841064453125,0.014925972558557987,28.437335968017578,0.014810577966272831,11.521817207336426
14,449,3.8078548908233643,,,,,,
15,479,,,23.972749710083008,0.012846065685153008,26.357669830322266,0.012747411616146564,9.949363708496094
15,479,3.682633876800537,,,,,,
16,499,,4.434823989868164,,,,,
16,509,,,23.6299991607666,0.01266475673764944,25.6723575592041,0.012571104802191257,10.837200164794922
16,509,3.747852087020874,,,,,,
17,539,,,20.469602584838867,0.010966934263706207,22.838991165161133,0.010892805643379688,9.908591270446777
17,539,3.7345404624938965,,,,,,
18,549,,3.71638822555542,,,,,
18,569,,,15.425837516784668,0.008279143832623959,15.786872863769531,0.008243488147854805,8.009346008300781
18,569,3.756852626800537,,,,,,
19,599,,4.3281049728393555,,,,,
19,599,,,15.961226463317871,0.008547697216272354,18.34202766418457,0.0084998719394207,7.691560745239258
19,599,3.7355496883392334,,,,,,
